ID,Season,Round,Home,Away,HomeWin,AwayWin,Draw,HomeGoal,AwayGoal,HomeXG,AwayXG,HomePoss,AwayPoss,HomeCaptain,HomeFormation,HomeSH,HomeSOT,HomeDist,HomeFK,HomePK,HomePKAtt,AwayCaptain,AwayFormation,AwaySH,AwaySOT,AwayDist,AwayFK,AwayPK,AwayPKAtt,Referee,Date,Day,Time
1360,2024,23,Burnley,Fulham,0,0,1,2,2,1.8,1.5,44,56,Josh Brownhill,4-4-2,12,4,15.4,0,0,0,Tim Ream,4-2-3-1,15,7,13.2,0,0,0,Darren Bond,2024-02-03,Sat,15:00
1392,2024,26,Manchester United,Fulham,0,1,0,1,2,1.7,1.2,57,43,Bruno Fernandes,4-2-3-1,21,8,17.3,0,0,0,Harrison Reed,4-2-3-1,17,5,17.1,0,0,0,Michael Oliver,2024-02-24,Sat,15:00
1412,2024,28,Wolverhampton Wanderers,Fulham,1,0,0,2,1,0.8,2.6,48,52,Max Kilman,4-2-3-1,8,3,16.3,0,0,0,Harrison Reed,4-2-3-1,23,6,14.1,0,0,0,Tony Harrington,2024-03-09,Sat,15:00
1429,2024,30,Sheffield United,Fulham,0,0,1,3,3,1.9,1.3,27,73,Jack Robinson,3-5-2,8,4,15.7,0,0,0,Bernd Leno,4-2-3-1,24,9,17.6,0,0,0,Tim Robinson,2024-03-30,Sat,15:00
1434,2024,31,Nottingham Forest,Fulham,1,0,0,3,1,1.5,1.5,34,66,Ryan Yates,4-2-3-1,16,4,18.5,0,0,0,Bernd Leno,4-2-3-1,18,3,12.3,0,0,0,Michael Oliver,2024-04-02,Tue,19:30
1461,2024,33,West Ham United,Fulham,0,1,0,0,2,0.9,3.2,58,42,Łukasz Fabiański,4-2-3-1,15,4,16.2,0,0,0,Bernd Leno,4-2-3-1,18,10,15.1,0,0,0,Stuart Attwell,2024-04-14,Sun,14:00
1492,2024,36,Brentford,Fulham,0,0,1,0,0,0.6,1.3,54,46,Christian Nørgaard,4-3-3,7,2,12.9,0,0,0,Bernd Leno,4-2-3-1,15,3,17.4,0,0,0,Graham Scott,2024-05-04,Sat,15:00
1518,2024,38,Luton Town,Fulham,0,1,0,2,4,2.0,1.1,41,59,Carlton Morris,3-4-3,14,5,19.3,2,1,1,Tim Ream,4-2-3-1,16,8,21.6,2,0,0,Matt Donohue,2024-05-19,Sun,16:00
1521,2025,1,Manchester United,Fulham,1,0,0,1,0,2.4,0.4,55,45,Bruno Fernandes,4-2-3-1,14,5,17.6,0,0,0,Bernd Leno,4-2-3-1,10,2,16.9,0,0,0,Robert Jones,2024-08-16,Fri,20:00
1544,2025,3,Ipswich Town,Fulham,0,0,1,1,1,0.4,0.9,48,52,Sam Morsy,4-2-3-1,11,4,18.0,1,0,0,Bernd Leno,4-3-3,9,4,13.1,0,0,0,Lewis Smith,2024-08-31,Sat,15:00
1573,2025,6,Nottingham Forest,Fulham,0,1,0,0,1,0.8,1.3,41,59,Ryan Yates,4-4-2,11,1,19.3,0,0,0,Bernd Leno,4-2-3-1,13,1,20.2,0,1,1,Joshua Smith,2024-09-28,Sat,15:00
1585,2025,7,Manchester City,Fulham,1,0,0,3,2,1.6,2.6,58,42,Rúben Dias,4-1-4-1,20,7,17.6,1,0,0,Bernd Leno,5-4-1,11,4,14.0,0,0,0,Peter Bankes,2024-10-05,Sat,15:00
1606,2025,9,Everton,Fulham,0,0,1,1,1,0.8,1.2,40,60,James Tarkowski,4-2-3-1,10,5,14.3,0,0,0,Bernd Leno,4-2-3-1,14,3,18.2,0,0,0,John Brooks,2024-10-26,Sat,17:30
1622,2025,11,Crystal Palace,Fulham,0,1,0,0,2,1.5,1.8,36,64,Marc Guéhi,3-4-3,13,4,17.1,0,0,0,Bernd Leno,4-2-3-1,17,7,17.0,0,0,0,Michael Salisbury,2024-11-09,Sat,15:00
1647,2025,13,Tottenham Hotspur,Fulham,0,0,1,1,1,0.8,1.5,51,49,Son Heung-min,4-3-3,8,3,17.5,2,0,0,Antonee Robinson,4-2-3-1,14,6,13.4,0,0,0,Darren Bond,2024-12-01,Sun,13:30
1673,2025,16,Liverpool,Fulham,0,0,1,2,2,2.1,1.2,61,39,Virgil van Dijk,4-3-3,16,4,13.9,0,0,0,Antonee Robinson,4-2-3-1,12,3,16.9,1,0,0,Tony Harrington,2024-12-14,Sat,15:00
1694,2025,18,Chelsea,Fulham,0,1,0,1,2,1.1,1.8,47,53,Enzo Fernández,4-2-3-1,12,8,18.7,1,0,0,Antonee Robinson,4-5-1,14,7,16.2,1,0,0,Samuel Barrott,2024-12-26,Thu,15:00
1721,2025,21,West Ham United,Fulham,1,0,0,3,2,1.0,1.7,44,56,Tomáš Souček,4-2-3-1,4,3,14.6,0,0,0,Antonee Robinson,4-2-3-1,21,4,17.9,1,0,0,Craig Pawson,2025-01-14,Tue,19:30
1732,2025,22,Leicester City,Fulham,0,1,0,0,2,0.6,2.0,40,60,Jamie Vardy,4-2-3-1,8,4,16.3,0,0,0,Antonee Robinson,4-2-3-1,17,2,14.1,1,0,0,Michael Salisbury,2025-01-18,Sat,15:00
1751,2025,24,Newcastle United,Fulham,0,1,0,1,2,0.8,1.6,49,51,Bruno Guimarães,4-3-3,11,4,15.3,0,0,0,Antonee Robinson,4-2-3-1,15,4,16.2,0,0,0,Chris Kavanagh,2025-02-01,Sat,15:00
1783,2025,27,Wolverhampton Wanderers,Fulham,0,1,0,1,2,1.3,1.7,60,40,Nélson Semedo,3-4-3,18,5,17.9,3,0,0,Bernd Leno,3-4-3,11,5,13.1,0,0,0,Peter Bankes,2025-02-25,Tue,19:30
1794,2025,28,Brighton And Hove Albion,Fulham,1,0,0,2,1,1.5,0.9,53,47,Adam Webster,4-2-3-1,8,3,16.2,0,1,1,Antonee Robinson,3-4-3,6,1,12.5,0,0,0,Samuel Barrott,2025-03-08,Sat,15:00
1810,2025,30,Arsenal,Fulham,1,0,0,2,1,2.2,1.0,51,49,Martin Ødegaard,4-3-3,17,4,12.0,0,0,0,Antonee Robinson,3-4-3,9,3,14.9,0,0,0,John Brooks,2025-04-01,Tue,19:45
1839,2025,32,Bournemouth,Fulham,1,0,0,1,0,1.4,1.0,41,59,Adam Smith,4-2-3-1,12,3,15.6,0,0,0,Antonee Robinson,4-2-3-1,12,7,17.8,0,0,0,Michael Oliver,2025-04-14,Mon,20:00
1857,2025,34,Southampton,Fulham,0,1,0,1,2,0.6,2.4,35,65,Jack Stephens,3-4-3,7,3,16.6,0,0,0,Bernd Leno,4-3-3,26,5,14.3,0,0,0,Tony Harrington,2025-04-26,Sat,15:00
1862,2025,35,Aston Villa,Fulham,1,0,0,1,0,1.0,0.9,52,48,John McGinn,4-2-3-1,10,3,15.8,0,0,0,Bernd Leno,4-2-3-1,11,3,14.9,0,0,0,Robert Jones,2025-05-03,Sat,12:30
1886,2025,37,Brentford,Fulham,0,1,0,2,3,2.5,1.0,51,49,Christian Nørgaard,4-2-3-1,10,4,11.1,0,0,1,Bernd Leno,4-2-3-1,16,7,17.7,2,0,0,Jarred Gillett,2025-05-18,Sun,15:00
